Year,Model,Max_Value,Min_Value
1979,Observed,14.287,2.107
1980,Observed,14.866,1.847
1981,Observed,14.781,1.737
1982,Observed,14.529,1.86
1983,Observed,14.683,1.906
1984,Observed,14.268,1.752
1985,Observed,14.722,1.835
1986,Observed,13.876,1.996
1987,Observed,14.27,1.999
1988,Observed,14.414,1.9
1989,Observed,14.476,2.026
1990,Observed,14.391,2.205
1991,Observed,14.471,2.091
1992,Observed,14.172,1.856
1993,Observed,14.704,1.373
1994,Observed,14.613,2.225
1995,Observed,14.462,2.188
1996,Observed,14.543,1.768
1997,Observed,14.589,1.717
1998,Observed,14.842,1.868
1999,Observed,14.616,1.774
2000,Observed,15.071,1.719
2001,Observed,14.359,2.445
2002,Observed,14.104,1.817
2003,Observed,14.142,2.659
2004,Observed,14.591,2.361
2005,Observed,14.852,1.968
2006,Observed,15.18,1.758
2007,Observed,15.389,1.94
2008,Observed,14.392,2.4
2009,Observed,15.083,1.97
2010,Observed,14.949,2.108
2011,Observed,14.567,1.857
2012,Observed,15.407,2.191
2013,Observed,15.276,2.579
2014,Observed,15.75,2.651
2015,Observed,14.453,2.539
2016,Observed,13.976,1.855
2017,Observed,13.922,1.641
2018,Observed,14.2,1.627
2019,Observed,14.601,1.813
2020,Observed,15.086,1.832
2021,Observed,14.63,1.72
2022,Observed,14.073,1.382
2023,Observed,12.966,1.151